1.20,0.25,881.00,181.00,0.99,8.58,0.84
1.28,0.95,467.00,34.50,0.99,4.11,1.91
1.26,0.99,189.00,14.40,1.01,3.32,1.82
1.24,0.97,159.00,12.20,1.01,3.48,1.86
1.17,0.98,206.00,15.30,0.99,2.60,1.88
1.31,0.97,264.00,19.30,0.98,2.79,1.76
1.24,0.84,2460.00,40.60,1.10,1.51,0.98
1.10,0.74,591.00,58.10,1.01,1.30,0.96
1.27,0.97,260.00,21.90,1.02,2.74,1.91
1.17,0.42,1010.00,216.00,0.99,4.08,0.82
1.24,0.99,270.00,22.70,1.01,2.83,2.07
1.25,0.95,306.00,28.50,1.01,3.17,1.59
1.12,0.91,1560.00,56.50,0.99,1.58,0.82
1.27,1.00,256.00,24.20,1.00,3.18,1.58
1.25,0.91,1790.00,10.70,1.04,4.88,1.03
1.23,0.90,504.00,0.00,0.99,3.39,1.43
1.26,0.99,331.00,39.60,0.99,4.16,1.73
1.20,0.98,357.00,39.60,1.01,4.59,1.69
1.01,0.95,1040.00,62.90,1.03,2.41,0.70
1.25,0.74,4390.00,0.00,1.02,15.12,1.01
1.18,0.92,1540.00,42.00,1.05,5.14,0.87
1.11,0.33,1230.00,233.00,1.00,4.57,0.83
1.24,0.85,533.00,76.70,0.95,2.59,1.35
1.21,0.94,661.00,112.00,0.98,4.87,0.88
1.21,0.65,2550.00,506.00,1.04,4.18,1.00
1.29,0.90,2250.00,132.00,1.03,3.08,0.89
1.16,0.87,1610.00,66.50,1.05,2.11,0.86
1.29,0.97,419.00,47.90,0.99,4.12,1.27
1.18,0.86,2070.00,295.00,1.04,3.10,0.96
